TYPE,SITE_NO,SITE_NAME,ADDRESS,HERITAGE_NEIGHBOURHOOD,REGISTER_RESOLUTION_DATE,HERITAGE_REGISTER_AMENDED,HERITAGE_VALUE,WEBLINK,Latitude,Longitude
Registered and Protected,169,Brooksdale Estate - Caretaker's Cottage,1620 192,Hazelmere,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3372.aspx,49.032342,-122.687702
Registered and Protected,28,Boothroyd House,16811 60 Avenue,Surrey Centre,19970714,No,"Architectural, Historical",http://www.surrey.ca/city-services/3260.aspx,49.111809,-122.756376
Registered and Protected,64,Charles Feedham House,14040 32 Avenue,Elgin,19981102,No,Architectural,http://www.surrey.ca/city-services/3322.aspx,49.059933,-122.833074
Registered,,Verna Porter Residence,13539 16 Avenue,Ocean Park,20161121,,"Architectural, Historical",http://www.surrey.ca/city-services/21669.aspx,49.031623,-122.847154
Registered,,Lambert Residence,16544 10 Avenue,Douglas,20170206,,Architectural,http://www.surrey.ca/culture-recreation/22559.aspx,49.019427,-122.764401
Registered and Protected,138,James Creighton House,10668 125B Street,South Westminster,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3325.aspx,49.196688,-122.873376
Registered and Protected,68,John Horner House,12645 14B Avenue,Ocean Park,19981102,No,Architectural,http://www.surrey.ca/city-services/3284.aspx,49.029378,-122.871558
Registered and Protected,153,Anderson Cabin,17710 56A Avenue,Cloverdale,,,Historical,http://www.surrey.ca/city-services/3246.aspx,49.104886,-122.732081
Registered,184,William J. Whiteside House,2654 McBride Avenue,Crescent Beach,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3369.aspx,49.051162,-122.883014
Registered,106,John Lamb House,5909 168 Street,Surrey Centre,19981102,No,Architectural,http://www.surrey.ca/city-services/3265.aspx,49.109936,-122.756969
Registered and Protected,206,Port Kells Fire Hall No. 7,18922 88 Avenue,Port Kells,20001204,No,Historical,http://www.surrey.ca/city-services/3365.aspx,49.162581,-122.698147
