NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
2,Riser Pocket,1000075178,28215,1277311580,75,PVC Plastic,0.58,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051129,20110421,1,0,49.212585,-122.867676
2,Riser Pocket,1000075089,27754,1305611624,75,PVC Plastic,0.74,1.4,,,Abandoned,4515,1978,Surrey,,LINE BE-G,,,,,,,,20051107,20081120,0,0,49.213369,-122.859849
2,Riser Pocket,1000075075,27738,1291811635,75,PVC Plastic,0.69,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213581,-122.863657
2,Riser Pocket,1000075072,27734,1286611635,75,PVC Plastic,0.76,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213583,-122.865084
2,Riser Pocket,1000075085,27750,1310811635,75,PVC Plastic,1.14,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213573,-122.858404
2,Riser Pocket,1000074563,28033,1260611333,75,PVC Plastic,0.63,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.208119,-122.872303
2,Riser Pocket,1000074701,27937,1238811424,150,PVC Plastic,0.51,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051116,,1,0,49.209780,-122.878300
2,Riser Pocket,1000074562,28032,1262911333,75,PVC Plastic,0.85,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.208121,-122.871648
2,Riser Pocket,1000074585,28074,1265411359,75,PVC Plastic,0.69,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051122,20120423,0,0,49.208595,-122.870971
2,Riser Pocket,1000074704,27940,1241911425,150,PVC Plastic,0.46,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051116,,1,0,49.209779,-122.877453
2,Riser Pocket,1000074705,27941,1245011424,150,PVC Plastic,0.46,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051116,,1,0,49.209778,-122.876606
2,Riser Pocket,1000074564,28035,1254611323,63,PVC Plastic,0.73,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.207946,-122.873960
1,Pigging Chamber,1001361346,,1558707531,600,Steel,15.68,19.2,,,In Service,4705-6020-00,2011,Surrey,,,Final AB,,,,,,,20120221,20120221,1,0,49.139201,-122.790264
1,Pigging Chamber,1001361358,,1558507530,,Steel,15.65,19.2,,,In Service,4705-6020-00,2011,Surrey,,,Final AB,,,,,,,20120221,20120221,1,0,49.139180,-122.790299
2,Riser Pocket,1000074556,28025,1252411435,75,PVC Plastic,0.44,,,,Abandoned,4515,1977,Surrey,,LINE BW-D,,,,,,,,20051121,20120418,0,0,49.209975,-122.874552
2,Riser Pocket,1000074557,28026,1252411466,75,PVC Plastic,0.55,,,,Abandoned,4515,1977,Surrey,,LINE BW-D,,,,,,,,20051121,20120418,0,0,49.210533,-122.874550
2,Riser Pocket,1000074558,28028,1252411497,75,PVC Plastic,0.39,,,,Abandoned,4515,1977,Surrey,,LINE BW-D,,,,,,,,20051121,20120418,0,0,49.211088,-122.874548
2,Riser Pocket,1000074559,28029,1252411527,63,PVC Plastic,0.53,,,,Abandoned,4515,1977,Surrey,,LINE BW-D,,,,,,,,20051121,20120418,0,0,49.211643,-122.874546
2,Riser Pocket,1000074554,28022,1252411389,100,PVC Plastic,0.61,,,,Abandoned,4515,1998,Surrey,,LINE BW-F,,,,,,,,20051121,20120418,0,0,49.209134,-122.874557
2,Riser Pocket,1000074555,28024,1252411412,100,PVC Plastic,0.53,,,,Abandoned,4515,1998,Surrey,,LINE BW-F,,,,,,,,20051121,20120418,0,0,49.209552,-122.874555
2,Riser Pocket,1000074606,28098,1255711574,75,PVC Plastic,0.53,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212490,-122.873635
2,Riser Pocket,1000074607,28100,1258711574,75,PVC Plastic,0.53,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212489,-122.872809
2,Riser Pocket,1000074608,28101,1261711574,75,PVC Plastic,0.53,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212488,-122.871982
2,Riser Pocket,1000074613,28107,1262411583,63,PVC Plastic,0.52,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.212646,-122.871771
