ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,1,1,Cross,1000315420,17525,1600304796,100,PE,0,-1.09,1.09,In Service,7800-0272,2001,Surrey,,,,,,,,,20030324,20090113,49.089684,-122.779012
0,1,4,Tee,1000303703,5639,1318007325,,,82.03,,,In Service,,1983,Surrey,,,,,,,,,19890602,20090213,49.135575,-122.856657
0,1,4,Tee,1000303862,6514,1308307320,,,82.1,,,In Service,,1993,Surrey,,,,,,,,,19940420,20090213,49.135501,-122.859332
,1,4,Tee,1001083070,,1312607278,200,DI,,80.56,,In Service,1207-3060-00,2008,Surrey,,,Final AB,,,,,,20090213,20090213,49.134727,-122.858156
,1,2,Reducer,1001083072,,1312607278,200,DI,,,,In Service,1207-3060-00,2008,Surrey,,200 X 100 REDUCER,Final AB,,,,,,20090213,20090213,49.134727,-122.858142
,1,3,Tap,1001083068,,1312507324,200,DI,,81.67,,In Service,1207-3060-00,2008,Surrey,,,Final AB,,,,,,20090213,20090213,49.135571,-122.858166
,1,4,Tee,1001171886,,1758900368,300,DI,,,,In Service,MOTH 11807,2007,Surrey,,,Final AB,,,,,,20100903,20100903,49.009473,-122.735729
0,1,4,Tee,1000307495,8644,1469506816,,,34.45,,,In Service,,1982,Surrey,,,,,,,,,19900108,20100903,49.126303,-122.814894
0,1,1,Cross,1000315202,3041,1866909614,,,15.74,,,In Service,,1977,Surrey,,,,,,,,,19890220,20100903,49.176967,-122.705054
0,1,1,Cross,1000315638,668,1680805987,,,24,,,Abandoned,,1961,Surrey,,,,,,,,,19881212,20060817,49.111477,-122.756731
0,1,1,Cross,1000315515,4951,1452209162,,,79.6,,,In Service,,1980,Surrey,,,,,,,,,19890502,,49.169027,-122.819514
0,1,1,Cross,1000315106,3611,1608809129,,,64.66,,,In Service,,1989,Surrey,,,,,,,,,19910618,,49.168353,-122.776320
0,1,1,Cross,1000315317,14738,1505105740,,,25.21,,,In Service,,1997,Surrey,,,,,,,,,19981103,,49.106814,-122.805177
0,1,4,Tee,1000298735,11958,1409110610,,,100.37,,,In Service,,1967,Surrey,,,,,,,,,19900803,,49.195229,-122.831299
